
Metadata,IonizationFreqs:-0.000025 0.000025 0.000005 541.433310 THz,CoolingFreq:607.427840,RepumpFreq:461.312180,WindowStart:160.000,WindowWidth:55.000
hLoopCount	AttemptCount	Freq553	IonTrapped	NeutralCounts	ydataAvg	ydataStD	BGydataAvg	BGydataStD
11	1	541.433285	False	24.000000	15.300000	4.172529	15.100000	2.700000
11	2	541.433290	False	31.000000	16.700000	3.689173	16.400000	3.440930
11	3	541.433295	False	21.000000	13.600000	3.006659	17.000000	3.974921
11	4	541.433300	False	22.000000	14.600000	3.231099	14.300000	3.900000
11	5	541.433305	False	33.000000	14.600000	2.690725	13.400000	4.565085
11	6	541.433310	False	37.000000	13.000000	3.741657	14.600000	4.127953
11	7	541.433315	False	25.000000	13.100000	3.645545	13.100000	3.014963
11	8	541.433320	False	21.000000	14.900000	2.547548	13.700000	3.661967
11	9	541.433325	False	11.000000	15.700000	3.661967	14.700000	2.900000
11	10	541.433330	False	24.000000	14.600000	3.826225	14.000000	2.720294
11	11	541.433335	False	27.000000	14.600000	2.690725	15.100000	3.726929
12	1	541.433285	False	21.000000	15.600000	4.608687	15.900000	3.672874
12	2	541.433290	False	20.000000	13.700000	2.830194	16.200000	5.706137
12	3	541.433295	False	34.000000	15.700000	4.337050	13.600000	2.200000
12	4	541.433300	True	28.000000	153.800000	31.770427	14.400000	4.176123
12	5	541.433305	False	34.000000	14.000000	4.123106	16.000000	4.538722
12	6	541.433310	False	36.000000	15.100000	2.981610	16.100000	2.165641
12	7	541.433315	False	20.000000	14.400000	3.693237	14.400000	3.411744
12	8	541.433320	True	31.000000	159.500000	24.896787	14.500000	3.584690
12	9	541.433325	False	25.000000	16.000000	3.000000	15.900000	3.618011
12	10	541.433330	True	12.000000	162.700000	22.262300	14.600000	4.176123
12	11	541.433335	False	18.000000	14.800000	3.841875	15.300000	5.254522
13	1	541.433285	False	9.000000	14.800000	3.310589	15.300000	3.287856
13	2	541.433290	False	28.000000	15.900000	4.825971	16.400000	4.029888
13	3	541.433295	False	19.000000	13.800000	3.709447	12.900000	4.392038
13	4	541.433300	False	29.000000	13.800000	4.044750	14.800000	3.515679
13	5	541.433305	True	25.000000	169.600000	15.525463	13.500000	3.074085
13	6	541.433310	False	28.000000	14.300000	2.865310	14.500000	2.837252
13	7	541.433315	False	35.000000	14.000000	3.820995	15.200000	4.377214
13	8	541.433320	False	30.000000	15.900000	4.158125	16.100000	3.330165
13	9	541.433325	False	29.000000	16.800000	4.069398	15.200000	2.227106
13	10	541.433330	False	15.000000	12.900000	2.586503	13.100000	4.276681
13	11	541.433335	False	27.000000	17.000000	3.065942	15.400000	4.431704
14	1	541.433285	False	24.000000	17.500000	4.738143	13.600000	2.200000
14	2	541.433290	False	15.000000	17.300000	4.001250	15.400000	2.835489
14	3	541.433295	False	34.000000	14.100000	3.238827	15.000000	1.732051
14	4	541.433300	False	25.000000	14.600000	3.555278	15.000000	3.898718
14	5	541.433305	False	31.000000	12.600000	2.457641	14.000000	3.193744
14	6	541.433310	False	25.000000	14.600000	4.454211	14.100000	2.547548
14	7	541.433315	False	42.000000	13.800000	4.995998	15.000000	4.494441
14	8	541.433320	False	15.000000	13.800000	3.155947	13.400000	2.939388
14	9	541.433325	False	30.000000	15.000000	2.366432	15.500000	4.295346
14	10	541.433330	False	23.000000	16.000000	3.974921	14.800000	2.481935
14	11	541.433335	False	15.000000	15.200000	4.142463	14.900000	2.547548
15	1	541.433285	False	19.000000	16.300000	3.716181	14.800000	3.340659
15	2	541.433290	False	30.000000	16.500000	2.500000	13.700000	2.900000
15	3	541.433295	False	21.000000	16.100000	2.736786	15.900000	3.269557
15	4	541.433300	False	34.000000	15.800000	4.643275	16.400000	3.954744
15	5	541.433305	True	23.000000	175.900000	11.588356	15.500000	4.674398
15	6	541.433310	False	24.000000	15.400000	3.261901	15.200000	2.856571
15	7	541.433315	False	50.000000	13.100000	4.700000	16.300000	3.287856
15	8	541.433320	False	19.000000	15.000000	2.489980	13.800000	3.627671
15	9	541.433325	False	42.000000	14.600000	2.497999	14.300000	3.634556
15	10	541.433330	False	26.000000	14.600000	2.576820	15.200000	3.124100
15	11	541.433335	False	23.000000	15.900000	4.570558	14.100000	2.343075
16	1	541.433285	False	23.000000	16.300000	3.522783	14.600000	3.666061
16	2	541.433290	True	16.000000	180.800000	11.989996	15.800000	3.400000
16	3	541.433295	False	27.000000	12.100000	2.256103	18.000000	4.358899
16	4	541.433300	False	32.000000	16.100000	3.780212	14.100000	3.269557
16	5	541.433305	False	50.000000	15.300000	3.257299	16.800000	3.736308
16	6	541.433310	False	26.000000	13.100000	1.972308	14.600000	3.979950
16	7	541.433315	False	29.000000	16.200000	4.214262	12.900000	2.913760
16	8	541.433320	False	22.000000	14.600000	2.973214	16.600000	3.231099
16	9	541.433325	False	24.000000	14.800000	2.749545	14.900000	4.908156
16	10	541.433330	False	28.000000	14.400000	3.136877	13.300000	3.579106
16	11	541.433335	False	26.000000	17.100000	4.085340	14.100000	3.753665
17	1	541.433285	False	19.000000	17.200000	4.621688	14.300000	2.830194
17	2	541.433290	False	26.000000	15.000000	2.190890	16.000000	3.193744
17	3	541.433295	False	29.000000	15.900000	3.448188	16.700000	3.796051
17	4	541.433300	False	29.000000	14.900000	3.300000	15.700000	4.337050
17	5	541.433305	False	31.000000	12.700000	2.193171	11.400000	4.498889
17	6	541.433310	False	37.000000	16.200000	3.994997	15.100000	3.448188
17	7	541.433315	False	45.000000	13.400000	3.006659	14.800000	4.995998
17	8	541.433320	False	23.000000	15.900000	3.562303	13.500000	5.277310
17	9	541.433325	False	20.000000	12.000000	4.024922	14.700000	2.647640
17	10	541.433330	False	13.000000	14.500000	4.821825	14.600000	4.270831
17	11	541.433335	False	18.000000	14.300000	2.934280	15.100000	4.570558
18	1	541.433285	False	21.000000	15.900000	2.947881	16.500000	3.074085
18	2	541.433290	False	33.000000	15.100000	5.923681	13.800000	3.124100
18	3	541.433295	False	21.000000	15.200000	2.891366	15.300000	4.733920
18	4	541.433300	False	33.000000	15.500000	3.232646	15.600000	4.127953
18	5	541.433305	False	28.000000	14.200000	3.627671	16.600000	2.653300
18	6	541.433310	False	31.000000	14.900000	3.910243	15.400000	3.322650
18	7	541.433315	False	34.000000	14.300000	3.226453	14.000000	4.074310
18	8	541.433320	False	31.000000	12.800000	3.340659	14.600000	3.200000
18	9	541.433325	False	25.000000	15.300000	3.067572	15.400000	2.939388
18	10	541.433330	False	22.000000	13.200000	2.441311	15.000000	3.346640
18	11	541.433335	False	15.000000	14.200000	4.354308	12.500000	4.883646
19	1	541.433285	False	20.000000	15.900000	2.662705	14.700000	2.282542
19	2	541.433290	True	30.000000	157.000000	12.149074	15.600000	4.983974
19	3	541.433295	False	30.000000	14.000000	3.492850	14.600000	4.903060
19	4	541.433300	False	23.000000	15.400000	4.363485	13.700000	2.865310
19	5	541.433305	False	24.000000	13.800000	3.789459	14.800000	2.315167
19	6	541.433310	False	29.000000	16.900000	2.507987	14.200000	2.821347
19	7	541.433315	False	33.000000	14.500000	3.471311	15.600000	2.154066
19	8	541.433320	False	19.000000	15.900000	3.645545	15.600000	2.973214
19	9	541.433325	False	20.000000	13.300000	2.368544	14.200000	4.331282
19	10	541.433330	False	26.000000	14.700000	2.968164	13.600000	3.322650
19	11	541.433335	False	17.000000	13.600000	3.773592	13.500000	2.729469
